"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
7902,"Zero","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"HTV","BA12 0AZ","BA12",34.99,24.99,57.48,82.46,68.93,0,0,143.91,0,0,0,2,"Male","South West",53.77,23.99,49.22,168.01
11458,"Zero","41-45","Partner","Housewife","Manual Worker","Own Home","< 8,000, >= 4,000","No","No",1979,"TV South West","EX39 4BJ","EX39",17.99,21.49,19.99,16,0,10.47,0,34.95,0,8.98,0,2,"Female","South West",15.09,9.07,10.24,38.2
11002,"Zero","55-60","Partner","Retired","Retired","Own Home","<30,000, >=27,500","No","No",1997,"TV South West","TQ13 9LQ","TQ13",87.47,237.89,183.4,184.37,178.46,107.92,0,42.89,9,25.54,78.93,2,"Male","South West",174.32,44.05,87.11,289.88
1801,"1","36-40","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1990,"Tyne Tees","NE34 6NQ","NE34",52.46,166.43,219.42,241.35,43.93,117.89,9.99,170.37,0,0,8.98,2,"Female","North",144.72,51.21,97.26,312.68
442,"1","41-45","Partner","Unknown","Unknown","Own Home","<25,000, >=22,500","No","Yes",1995,"Scottish TV","G61 4RH","G61",13.99,99.94,0,36.46,9.49,4.99,2.99,0,0,4.49,13.49,2,"Female","Scotland",31.98,4.33,8.99,-4.73
1681,"Zero","55-60","Partner","Secretarial/Admin","Manual Worker","Own Home","<20,000, >=17,500","No","Yes",1968,"Granada","LA4 5RL","LA4",0,0,0,0,0,0,0,32.48,0,0,0,2,"Female","North West",0,5.41,5.41,-0.53
10704,"Zero","51-55","Partner","Professional","Professional","Own Home","<30,000, >=27,500","No","No",1982,"Yorkshire","LS29 7PR","LS29",0,0,0,0,0,0,0,0,0,0,0,2,"Male","Unknown",0,0,0,53.11
11445,"Zero","51-55","Widowed","Unknown","Unknown","Own Home","<12,500, >=10,000","No","No",1994,"Central","OX2 7PE","OX2",0,64.46,0.02,220.43,0,54.48,0,31.96,0,0,0,2,"Female","South East",56.98,14.41,51.15,156.35
7107,"2","41-45","Partner","Manual Worker","Professional","Own Home",">=35,000","No","No",1994,"Yorkshire","WF15 8BY","WF15",198.97,116.46,104.96,65.96,59.98,0,0,0,0,0,21.99,2,"Male","Unknown",109.27,3.67,20.99,108.11
2761,"Zero","45-50","Partner","Other","Professional","Own Home","<30,000, >=27,500","No","Yes",1968,"Meridian","RH13 5PD","RH13",0,44.99,6.49,0,0,0,59.69,0,4.49,0,0,2,"Female","South East",10.3,10.7,10.7,57.57
9165,"Zero","65-70","Partner","Housewife","Manual Worker","Own Home","<22,500, >=20,000","No","No",1969,"Meridian","SO45 1EH","SO45",0,0,0,0,0,0,0,0,0,0,0,2,"Female","South East",0,0,0,14.12
11200,"Zero","45-50","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<27,500, >=25,000","No","No",1986,"Meridian","L18 3DL","L18",0,44.98,0,0,0,0,0,9.99,0,0,0,2,"Female","North West",9,1.67,1.67,47.52
2837,"Zero","71+","Partner","Unknown","Housewife","Own Home","<15,000, >=12,500","No","No",1947,"Central","M3 7BQ","M3",25.97,168.45,49.98,303.36,0,140.84,0,89.95,13.48,8.48,22.96,1,"Male","North West",109.55,45.95,91.27,226.5
5457,"Zero","31-35","Partner","Business Manager","Secretarial/Admin","Own Home",">=35,000","No","No",1997,"HTV","BS20 8NN","BS20",10.99,60.92,0,65.91,39.98,76.9,94.4,90.89,2,7.22,18.98,2,"Female","South West",35.56,48.4,61.68,174.14
2188,"3","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"Carlton","WA6 8EP","WA6",9.98,0,0,55.98,0,9.48,0,9.99,0,0,98.43,1,"Female","North West",13.19,19.65,12.58,32.71
200,"Zero","61-65","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1996,"Meridian","BH15 4PU","BH15",0,53.96,0,0,12.99,9.48,0,9.99,14.99,2.49,0,2,"Female","South West",13.39,6.16,7.91,77.64
10818,"2","31-35","Partner","Manual Worker","Professional","Own Home","<20,000, >=17,500","No","No",1994,"Tyne Tees","DL7 8RN","DL7",29.47,224.41,69.47,61.92,45.96,0,0,0,13.97,0,0,2,"Male","Unknown",86.25,2.33,20.31,126.61
614,"1","41-45","Partner","Professional","Professional","Own Home","<20,000, >=17,500","Yes","Yes",1987,"Scottish TV","G76 9BP","G76",34.98,36.48,4.99,39.98,0,9.49,58.94,0,0,0,106.97,1,"Female","Scotland",23.29,29.23,18.07,-4.06
10541,"1","26-30","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1990,"Central","WV5 0LY","WV5",45.98,0,218.93,0,82.43,134.4,38.99,11.98,16.49,0,18.96,2,"Female","West Midlands",69.47,36.8,47.38,168.87
8008,"Zero","45-50","Widowed","Manual Worker","Retired","Own Home","<15,000, >=12,500","No","No",1982,"Central","OX9 4QZ","OX9",49.48,0,94.48,27.49,15.49,34.99,40.46,0,14.97,0,23.98,2,"Female","South East",37.39,19.07,22.23,57.03
1196,"Zero","55-60","Partner","Retired","Unknown","Own Home","<20,000, >=17,500","No","No",1967,"Carlton","M26 6QP","M26",0,0,0,27.49,0,0.01,0,0,0,0,0,2,"Male","North West",5.5,0,4.58,35.22
4908,"Zero","22-25","Single/Never Married","Professional","Unknown","Own Home","<20,000, >=17,500","No","No",1999,"Meridian","M31 6SQ","M31",0,25.49,29.49,0,0,0,0,0,0,0,0,2,"Female","North West",11,0,0,-33.75
6482,"Zero","45-50","Partner","Professional","Retired","Own Home","<20,000, >=17,500","No","No",1991,"Meridian","BN2 8SD","BN2",0,29.98,16.98,227.4,0,0,0,0,0,7.99,0,1,"Female","South East",54.87,1.33,37.9,98.87
6795,"Zero","71+","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1988,"Anglia","CO6 1QR","CO6",14.99,0,0,11.49,0,0,0,0,34.96,4.99,31.47,1,"Male","South East",5.3,11.9,7.74,-59.24
8320,"2","36-40","Partner","Housewife","Manual Worker","Own Home","<22,500, >=20,000","No","No",1987,"Carlton","SS9 4LR","SS9",0,119.96,0,319.86,0,114.92,0,0,0,0,0,2,"Female","South East",87.96,19.15,72.46,163.63
1814,"2","45-50","Partner","Business Manager","Manual Worker","Own Home",">=35,000","No","No",1979,"Anglia","IP27 0QB","IP27",10.99,205.92,14.99,105.96,5.99,39.94,0,75.44,0,8.22,0,2,"Female","East Anglia",68.77,20.6,37.89,133.1
7524,"Zero","65-70","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1966,"Tyne Tees","DH7 8QQ","DH7",59.98,24.99,20,29.99,19.49,0,0,0,14.98,0,10.18,2,"Female","North",30.89,4.19,10.74,78.75
503,"Zero","65-70","Partner","Housewife","Retired","Own Home","<12,500, >=10,000","No","No",1997,"HTV","TA8 2HE","TA8",0,98.49,0,0,0,0,0,0,0,0,0,2,"Female","South West",19.7,0,0,15.78
7996,"Zero","71+","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1996,"Meridian","M37 6HH","M37",19.99,79.45,39.48,110.91,0,7.99,120.41,34.95,0,0,0,2,"Female","North West",49.97,27.23,45.71,94.48
428,"1","41-45","Partner","Secretarial/Admin","Business Manager","Own Home","<30,000, >=27,500","No","No",1987,"Central","LE9 7FY","LE9",0,0,24.99,19.99,22.95,0,0,0,0,0,0,2,"Female","East Midlands",13.59,0,7.16,75.33
10247,"Zero","51-55","Partner","Business Manager","Manual Worker","Own Home","<25,000, >=22,500","No","No",1975,"Carlton","UB6 8JN","UB6",0,0,0,65.45,0,31.94,0,13.99,0,33.94,0,2,"Male","South East",13.09,13.31,18.56,34.84
7203,"1","31-35","Divorced/Separated","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1997,"Yorkshire","HD2 2EA","HD2",0,44.99,0,0,33,0,15.99,0,0,0,0,2,"Female","Unknown",15.6,2.67,8.17,21.09
2902,"Zero","55-60","Single/Never Married","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1966,"Carlton","M13 3RL","M13",0,0,0,0,0,0,0,0,13.98,0,0,2,"Male","North West",0,2.33,2.33,-0.31
413,"Zero","45-50","Partner","Professional","Unknown","Own Home","<25,000, >=22,500","No","Yes",1952,"Yorkshire","LN4 3RG","LN4",152.95,0,34.48,0,18.97,11.99,0,39.48,1,0,3.99,1,"Female","East Midlands",41.28,9.41,11.91,72.39
7708,"Zero","61-65","Partner","Retired","Housewife","Own Home","<22,500, >=20,000","No","No",1992,"Granada","PR5 2EN","PR5",69.47,267.89,212.41,238.85,143.93,109.45,51.96,25.98,39.48,10.98,23.98,2,"Male","North West",186.51,43.64,101.61,329.11
6506,"Zero","65-70","Partner","Housewife","Unknown","Own Home","<25,000, >=22,500","No","Yes",1991,"Carlton","L6 8DF","L6",0,0,0,59.47,0,0,0,51.95,7.99,0,0,2,"Female","North West",11.89,9.99,19.9,39.55
11413,"Zero","71+","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1974,"Meridian","RG7 1XY","RG7",0.51,67.84,1.02,0.54,9.49,29.99,0,61.98,9.99,0,0,2,"Female","South East",15.88,16.99,18.67,83.58
2422,"Zero","71+","Partner","Retired","Retired","Own Home",">=35,000","No","No",1972,"Central","GL52 6TX","GL52",24.48,74.97,19.49,123.95,0,49.46,47.44,49.97,20.99,18.98,0,2,"Male","South West",48.58,31.14,48.64,133.73
5840,"Zero","45-50","Partner","Manual Worker","Housewife","Own Home","<30,000, >=27,500","No","No",1995,"Grampian","IV12 4HE","IV12",64.48,47.48,27.99,89.95,31.96,31.45,0,37.97,1,0,0,2,"Male","Scotland",52.37,11.74,32.06,111.3
6030,"1","26-30","Partner","Housewife","Professional","Own Home","<27,500, >=25,000","No","No",1994,"Anglia","PE6 9QL","PE6",67.99,21.47,31.98,133.88,0,53.96,26.49,13.97,3.99,0,2.49,2,"Female","East Anglia",51.06,16.82,38.72,89.24
2152,"1","36-40","Single/Never Married","Unknown","Unknown","Own Home","<30,000, >=27,500","Yes","Yes",1992,"Anglia","NR14 8RN","NR14",0,0,0,0,0,0,8.98,0,0,0,0,2,"Male","East Anglia",0,1.5,1.5,-11.8
9481,"2","31-35","Partner","Housewife","Secretarial/Admin","Own Home","<15,000, >=12,500","No","No",1990,"Central","SY11 1EN","SY11",9.99,0,34.45,39.97,0,0.01,23.96,42.97,6.98,0,0,2,"Male","West Midlands",16.88,12.32,18.98,86.22
3211,"1","36-40","Widowed","Housewife","Unknown","Own Home","< 8,000, >= 4,000","No","No",1993,"HTV","LL65 1NT","LL65",18.98,162.96,0,49.48,0,63.45,25.49,39.47,0,0,6.99,2,"Female","Wales",46.28,22.57,29.65,44.2
8198,"1","45-50","Partner","Housewife","Manual Worker","Own Home","<27,500, >=25,000","No","No",1990,"Meridian","L36 8AL","L36",0,0,0,0,0,0,0,0,0,0,0,2,"Female","North West",0,0,0,20.23
9744,"1","36-40","Partner","Manual Worker","Manual Worker","Rent Privately","<22,500, >=20,000","Yes","Yes",1996,"HTV","TA19 9PT","TA19",0,24.46,0,18.44,0,0,0.02,10.46,0,0,0,2,"Female","South West",8.58,1.75,4.82,14.5
5151,"3","31-35","Single/Never Married","Housewife","Unknown","Rent from Council/HA","<17,500, >=15,000","No","No",1994,"Anglia","MK14 6EJ","MK14",0,99.46,0,93.91,0,79.44,90.41,0,1,7.99,0,2,"Female","South East",38.67,29.81,44.13,150.68
8417,"1","41-45","Partner","Manual Worker","Manual Worker","Own Home","<20,000, >=17,500","No","No",1976,"Unknown","NP10 0DN","NP10",0,99.46,0,157.42,0,0,65.95,42.97,0,0,0,2,"Female","Unknown",51.38,18.15,44.39,133.26
8803,"Zero","55-60","Partner","Professional","Retired","Own Home","<15,000, >=12,500","No","No",1988,"Unknown","CH65 6PH","CH65",27.48,25.99,0,39.99,29.48,0,50.47,56.97,0,0,21.98,2,"Female","Unknown",24.59,21.57,29.49,78.24
4071,"Zero","45-50","Divorced/Separated","Manual Worker","Unknown","Own Home","<12,500, >=10,000","No","No",1996,"Central","B75 5EL","B75",8.99,225.45,88.97,500.2,29.48,74.42,46.46,83.42,7.47,31.94,41.96,1,"Male","West Midlands",170.62,47.61,123.58,388.71
3731,"Zero","51-55","Partner","Housewife","Retired","Own Home","<17,500, >=15,000","No","No",1975,"Meridian","RH19 4RD","RH19",0,0,0,43.94,56.46,0,71.43,37.96,4.65,0,0,2,"Female","South East",20.08,19.01,35.74,70.46
4198,"1","65-70","Widowed","Retired","Unknown","Rent from Council/HA","< 8,000, >= 4,000","No","No",1965,"Meridian","PO41 0UR","PO41",19.98,0,0,22.99,21.47,73.94,8.49,0,23.45,14.99,30.95,2,"Female","South East",12.89,25.3,25.06,78.49
10618,"2","31-35","Partner","Housewife","Manual Worker","Rent Privately","<12,500, >=10,000","No","No",1982,"TV South West","EX35 6NX","EX35",0,14.98,0,0.03,0,2.49,18.47,11.99,0,0,0,2,"Female","South West",3,5.49,5.5,4.29
2282,"Zero","26-30","Partner","Professional","Professional","Own Home","<30,000, >=27,500","No","No",1995,"Scottish TV","PA16 0EN","PA16",179.46,24.99,0,54.97,64.96,0,0,35.47,0,0,0,1,"Female","Scotland",64.88,5.91,25.9,97.95
10487,"Zero","65-70","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1971,"Granada","CW5 7BX","CW5",9.98,0,0,0,0,14.49,0,0,0,0,15.99,2,"Female","North West",2,5.08,2.42,25.22
9899,"Zero","45-50","Divorced/Separated","Business Manager","Secretarial/Admin","Own Home",">=35,000","No","No",1996,"Carlton","M6 5AH","M6",0,49.48,0,146.91,0,49.47,20.98,46.47,6,0,0,2,"Male","North West",39.28,20.49,44.97,104.76
9119,"4+","26-30","Single/Never Married","Professional","Manual Worker","Own Home",">=35,000","No","Yes",1992,"Unknown","CH45 2JR","CH45",11.45,50.9,0.01,106.81,1,49.46,0,105.64,44.96,9.71,0,1,"Female","Unknown",34.03,34.96,51.31,137.59
2145,"Zero","61-65","Partner","Retired","Retired","Own Home","<30,000, >=27,500","No","No",1993,"Meridian","TN22 4HH","TN22",0,0,0,0,0,0,0,35.97,0,0,0,2,"Male","South East",0,6,6,28.85
7182,"Zero","26-30","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1996,"Anglia","WA42 9RQ","WA42",0,0,0,0,0,0,0,0,0,0,0,2,"Male","North West",0,0,0,49.43
7167,"Zero","51-55","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1968,"Carlton","GU17 0JY","GU17",0,0,0,0.01,0,4.99,0,29.47,0,3.99,0,2,"Female","South East",0,6.41,5.75,19.67
8346,"2","36-40","Partner","Secretarial/Admin","Manual Worker","Own Home","<20,000, >=17,500","No","Yes",1984,"Carlton","HP1 1TY","HP1",0,0,25,0,25.27,63.03,33.95,47.43,10.48,9.98,368.47,1,"Female","South East",10.05,88.89,30.03,154.45
5707,"Zero","45-50","Partner","Retired","Retired","Own Home","<30,000, >=27,500","No","No",1991,"Anglia","CO16 9PE","CO16",109.43,151.87,186.85,233.64,67.24,74.41,423.53,124.33,111.35,8.49,93.92,2,"Female","South East",149.81,139.34,172.42,438.23
3314,"2","36-40","Partner","Other","Professional","Own Home","<25,000, >=22,500","No","Yes",1973,"Yorkshire","DN3 3SF","DN3",0,0,36.98,0,44.95,29.49,0,0,3.98,0,0,2,"Female","Unknown",16.39,5.58,13.07,58.76
10402,"Zero","61-65","Partner","Retired","Housewife","Own Home",">=35,000","No","No",1973,"Carlton","GU1 2TA","GU1",0,119.49,0,6.99,0,0,0,0,0,0,0,2,"Male","South East",25.3,0,1.17,20.13
6754,"1","45-50","Widowed","Professional","Other","Own Home","<30,000, >=27,500","No","No",1985,"Granada","WN5 7PR","WN5",206.97,0,68.48,40.47,21.98,20.47,26.47,29.98,0,0,46,1,"Male","North West",67.58,20.49,23.23,103.34
128,"1","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1996,"Tyne Tees","DL15 0JX","DL15",39.99,0,0.01,15.99,0,32.95,6.98,0.51,0,0,0,2,"Female","North",11.2,6.74,9.41,7.76
6922,"Zero","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1995,"Unknown","L46 6LE","L46",0,0,0,27.48,9.99,0,0,48.47,0,0,0,2,"Female","North West",7.49,8.08,14.32,26.38
5242,"2","31-35","Partner","Professional","Housewife","Own Home","<25,000, >=22,500","Yes","No",1996,"Carlton","IG8 0BN","IG8",0,26,0,29.99,0,0,57.96,23.47,0,0,0,2,"Male","South East",11.2,13.57,18.57,44.41
10164,"Zero","65-70","Widowed","Retired","Secretarial/Admin","Own Home","<12,500, >=10,000","No","No",1961,"Granada","LA14 3JJ","LA14",0,53.47,0,0,0,33.97,0,0,0,40.92,0,2,"Female","North",10.69,12.48,5.66,-19.47
11067,"1","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1989,"Tyne Tees","NE38 0NW","NE38",27.48,0.01,41.98,0,0,0,0,0,0,0,0,2,"Female","North",13.89,0,0,38.94
2730,"Zero","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1995,"Anglia","NR34 8NP","NR34",4.99,134.48,74.98,42.48,14.49,82.44,0,74.96,0,0,0,2,"Female","East Anglia",54.28,26.23,35.73,120.3
5962,"Zero","55-60","Partner","Secretarial/Admin","Professional","Own Home","<15,000, >=12,500","No","No",1994,"Meridian","RH15 0QS","RH15",0,55.47,39.99,13.49,0,33.48,0,17.99,0,14.49,224.44,1,"Female","South East",21.79,48.4,10.83,78.91
2089,"Zero","51-55","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1975,"Yorkshire","LN4 1PL","LN4",0,75.98,0,25,42.95,44.96,9,11.99,0,0,0,2,"Female","East Midlands",28.79,10.99,22.32,77.43
11286,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1994,"HTV","BS20 0BE","BS20",0,0,42.98,0,9.99,0,0,0,9.99,0,0,2,"Female","South West",10.59,1.67,3.33,7.59
10443,"Zero","41-45","Single/Never Married","Professional","Professional","Own Home",">=35,000","No","No",1985,"Meridian","CT2 7JG","CT2",0,0,48.98,107.92,0,39.98,110.42,39.46,0,0,0,2,"Male","South East",31.38,31.64,49.63,58.25
1176,"2","31-35","Partner","Unknown","Unknown","Own Home","<27,500, >=25,000","Yes","Yes",1997,"Yorkshire","LN13 0AS","LN13",43.97,25.99,29.99,0,14.49,67.92,21,20.98,0,0,0,2,"Female","East Midlands",22.89,18.32,20.73,81.04
6435,"Zero","26-30","Single/Never Married","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1997,"Tyne Tees","YO18 7JH","YO18",84.46,212.96,103.93,244.85,58.45,143.39,0,99.91,26.47,22.2,47.95,2,"Male","Unknown",140.93,56.65,95.51,243.32
4177,"1","45-50","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","Yes",1991,"Granada","FY6 0BT","FY6",0,0,0,0,29.99,19.47,17.6,20.98,0,34.75,24.49,2,"Female","North West",6,19.55,14.67,-1.58
6641,"Zero","61-65","Partner","Unknown","Unknown","Own Home","<22,500, >=20,000","No","No",1994,"Border","DG11 1TY","DG11",0,130.46,0,37.48,0,58.98,0,0,0,0,0,2,"Female","Scotland",33.59,9.83,16.08,79.08
5255,"Zero","61-65","Partner","Professional","Retired","Own Home","<15,000, >=12,500","No","No",1965,"Central","SY10 7SJ","SY10",0,166.47,0,0,0,0,0,0,0,0,0,2,"Female","West Midlands",33.29,0,0,118.15
10925,"1","41-45","Partner","Other","Other","Rent from Council/HA","< 8,000, >= 4,000","No","No",1993,"Unknown","CF23 9LL","CF23",0,69.99,0,40.46,29.99,0,0,0,29.98,4.98,0,2,"Male","Unknown",28.09,5.83,16.74,110.13
11258,"Zero","45-50","Single/Never Married","Business Manager","Manual Worker","Rent Privately","<30,000, >=27,500","No","No",1983,"Meridian","PO18 0DQ","PO18",0,0.55,0,7.98,26.97,0,0,0,0,0,0,2,"Female","South East",7.1,0,5.83,15.3
3584,"2","36-40","Partner","Professional","Professional","Own Home",">=35,000","No","No",1992,"Anglia","MK14 5QA","MK14",21.48,439.83,522.77,719.6,162.81,241.84,0,237.83,101.94,0,7.99,1,"Male","South East",373.3,98.27,244,757.05
6913,"2","31-35","Partner","Manual Worker","Professional","Own Home","<25,000, >=22,500","No","No",1987,"Carlton","WA9 2JY","WA9",0,0,0,0,9.98,0,0,29.48,0,0,0,2,"Female","North West",2,4.91,6.58,-2.67
5538,"1","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1986,"Central","WR13 6QJ","WR13",0,0.51,0,23.46,66.95,79.47,279.83,14.99,1,0,39.49,2,"Female","West Midlands",18.18,69.13,77.62,190.65
7521,"1","26-30","Partner","Professional","Professional","Own Home",">=35,000","No","No",1996,"Granada","BL8 4BU","BL8",59.97,15.99,24.99,166.88,7.5,114.43,53.41,111.93,18.95,0,0,2,"Female","North West",55.07,49.79,78.85,170.47
10455,"Zero","61-65","Partner","Professional","Retired","Own Home",">=35,000","Yes","No",1969,"Carlton","EN3 6TN","EN3",276.44,168.97,126.43,198.43,174.36,84.41,27.98,64.94,1,1.49,83.46,2,"Male","South East",188.93,43.88,91.85,323.35
10241,"Zero","55-60","Partner","Secretarial/Admin","Manual Worker","Own Home","<17,500, >=15,000","No","No",1982,"Carlton","EN7 6HX","EN7",81.46,163.44,0,82.45,4.49,99.39,0,4.48,0,36.29,0,2,"Female","South East",66.37,23.36,31.8,133.74
6163,"2","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home","<25,000, >=22,500","No","Yes",1984,"Grampian","AB44 1TN","AB44",25.98,25.99,73.43,218.89,89.95,129.41,20.49,102.92,17.98,5.73,0,2,"Female","Scotland",86.85,46.09,96.61,303.36
2342,"Zero","51-55","Partner","Retired","Retired","Own Home","<20,000, >=17,500","No","No",1965,"Carlton","RG5 3NU","RG5",0,17.49,0,45.48,0,44.99,0,0,0,0,0,2,"Female","South East",12.59,7.5,15.08,20.35
8208,"Zero","65-70","Partner","Retired","Retired","Own Home","< 4,000","Yes","No",1958,"Central","CV31 2QW","CV31",0.02,159.99,0,0,0,4.99,0,0,0,0,0,2,"Male","West Midlands",32,0.83,0.83,66.45
9429,"3","31-35","Partner","Other","Business Manager","Own Home","<27,500, >=25,000","No","No",1993,"Carlton","IG1 3QQ","IG1",9.49,0,81.97,0,0,29.98,0,0,0,0,0,2,"Female","South East",18.29,5,5,39.53
10906,"2","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1987,"Meridian","L32 1LU","L32",152.4,0,74.97,34.49,105.89,127.22,0,78.46,43.97,12.97,149.88,1,"Female","North West",73.55,68.75,65.01,186.95
5056,"Zero","61-65","Partner","Retired","Retired","Own Home","<20,000, >=17,500","No","No",1979,"Central","TF6 5DE","TF6",0,0,0,51.47,0,0,0,0,0,0,0,2,"Male","West Midlands",10.29,0,8.58,35.34
685,"Zero","51-55","Partner","Manual Worker","Manual Worker","Own Home","<27,500, >=25,000","No","No",1997,"HTV","CF64 5SX","CF64",0,27.49,0,81.96,0,31.48,0,58.97,0,0,0,2,"Female","Wales",21.89,15.08,28.74,19.7
8977,"1","22-25","Single/Never Married","Other","Manual Worker","Rent from Council/HA","<10,000, >= 8,000","No","No",1995,"Granada","PR7 4JG","PR7",0,0,85,0,4.99,24.99,0,0,0,0,0,2,"Female","North West",18,4.17,5,-2.96
11034,"1","51-55","Partner","Other","Retired","Own Home","<22,500, >=20,000","Yes","No",1970,"Grampian","DD7 6DL","DD7",0,0,0,25.48,0,0,0,54.46,0,0,0,2,"Female","Scotland",5.1,9.08,13.32,60.92
6431,"Zero","55-60","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1970,"Anglia","CB9 0AR","CB9",74.48,124.99,0,0,0,0,0,0,0,0,0,2,"Female","East Anglia",39.89,0,0,79.15
1962,"1","51-55","Partner","Business Manager","Housewife","Own Home","<30,000, >=27,500","No","No",1982,"Central","CV35 8PZ","CV35",0,74.47,0,0,0,0,0,24.99,0,0,9.48,2,"Male","West Midlands",14.89,5.75,4.17,3.4
8908,"4+","65-70","Partner","Retired","Retired","Own Home",">=35,000","No","No",1979,"HTV","SA43 1DQ","SA43",41.97,289.42,0,367.35,26.97,117.38,42.49,213.78,60.41,16.69,10.99,1,"Female","Wales",145.14,76.96,138.06,368.3
10656,"Zero","22-25","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1994,"Carlton","WA1 5DZ","WA1",0,0,0,13.99,39.46,0,0,12.95,0,0,0,2,"Unknown","North West",10.69,2.16,11.07,-54.96
6378,"3","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home",">=35,000","No","No",1997,"Meridian","M15 0AF","M15",84.99,15,0,20.99,0,7.99,0,0.02,0,0,0,2,"Female","North West",24.2,1.34,4.83,18.67
2333,"Zero","61-65","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1962,"Tyne Tees","DL4 1BD","DL4",49.95,22.48,143.95,0.02,68.91,69.4,0,0,19.95,16.7,0,2,"Female","North",57.06,17.68,26.38,61.1
6441,"2","26-30","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"Carlton","TW9 2NQ","TW9",39.49,43.98,55.98,99.96,53.98,34.43,227.31,7.49,0,0,0,2,"Female","South East",58.68,44.87,70.53,181.43
11500,"Zero","51-55","Partner","Retired","Other","Own Home","<20,000, >=17,500","No","No",1968,"Central","NG17 3ET","NG17",0,0,14.49,20.49,37.94,12.49,0,77.92,0,0,0,2,"Male","East Midlands",14.58,15.07,24.81,45.58
5995,"1","45-50","Partner","Business Manager","Professional","Own Home",">=35,000","No","No",1991,"Anglia","MK3 7UW","MK3",0,29.99,14.99,257.87,7.98,16.48,52.96,0,19.95,11.97,0,1,"Female","South East",62.17,16.89,59.21,177.41
17,"1","31-35","Partner","Secretarial/Admin","Business Manager","Own Home","<30,000, >=27,500","No","No",1994,"Central","B77 4NU","B77",117.48,69.97,82.97,77.96,0,11.49,45.98,19.47,7.49,18.46,13.98,2,"Female","West Midlands",69.68,19.48,27.07,78.41
841,"Zero","71+","Widowed","Housewife","Unknown","Own Home","< 8,000, >= 4,000","No","No",1979,"HTV","SY16 2DS","SY16",153.97,0,0,13.99,0,0,0,0,10.48,4.99,0,2,"Female","Wales",33.59,2.58,4.08,52.74
3931,"Zero","61-65","Partner","Housewife","Retired","Own Home","<17,500, >=15,000","No","No",1989,"Yorkshire","YO62 6QA","YO62",39.49,0,0,0,9.99,0,0,0,39.99,0,9.99,1,"Female","Unknown",9.9,8.33,8.33,21.87
9829,"2","36-40","Partner","Professional","Housewife","Own Home","<25,000, >=22,500","No","No",1990,"Yorkshire","BD16 4DW","BD16",97.95,256.94,67.97,26.98,23.46,5.99,0,46.45,1,2.24,0,2,"Male","Unknown",94.66,9.28,17.31,157.1
4758,"2","31-35","Partner","Housewife","Professional","Own Home","<25,000, >=22,500","No","No",1996,"Central","B46 3EE","B46",24.99,29.49,24.99,20.95,6.99,12.36,0,14.99,44.98,3.99,0,1,"Female","West Midlands",21.48,12.72,16.71,60.88
